sheet,state,metric,station_code,station_name,month,round,value,source_url,source_file
UK_BOD_2024,Uttarakhand,BOD,2725,"A/C SONG, D/S RAIWALA",December,second,1.7,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,10148,HARKI PAURI GHAT,January,first,1.2,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,10148,HARKI PAURI GHAT,February,second,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,10148,HARKI PAURI GHAT,March,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,10148,HARKI PAURI GHAT,April,second,1.2,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,10148,HARKI PAURI GHAT,May,first,1.2,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,10148,HARKI PAURI GHAT,June,second,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,10148,HARKI PAURI GHAT,July,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,10148,HARKI PAURI GHAT,August,second,1.4,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,10148,HARKI PAURI GHAT,September,first,1.4,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,10148,HARKI PAURI GHAT,October,second,2.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,10148,HARKI PAURI GHAT,November,first,2.2,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,10148,HARKI PAURI GHAT,December,second,2.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
